Subject/Category,Course Name,Course code,Credit Hours,Course_level,Prerequisite,Corequisite,Offered,Description,Major Applicable to,Requirement_type
FIN - Finance,Investments: Analysis and Management,FIN 370,3,300,FIN 320,None,,,,
FIN - Finance,International Financial Management ,FIN 410,3,400,FIN 320,None,,,,
FIN - Finance,Financial Institutions Management,FIN 420,3,400,FIN 320,None,,,,
FLM - Film,Elements of History of Film,FLM 103,3,100,None,None,,,,
FLM - Film,Film Tech I,FLM 112,3,100,None,None,,,,
FLM - Film,Film History I,FLM 201,3,200,None,None,,,,
FLM - Film,Film History II,FLM 202,3,200,None,None,,,,
FLM - Film,Social Documentary Filmmaking,FLM 251,3,200,None,None,,,,
FLM - Film,Short Film I ,FLM 260,3,200,None,None,,,,
FLM - Film,Short Film II,FLM 261,3,200,FLM 260,None,,,,
FLM - Film,Special Topics,FLM 271,3,200,None,None,,,,
FLM - Film,African American Film History*,FLM 271A,3,200,None,None,,,,
FLM - Film,Internship: Film Industry*,FLM 271 I,3,200,None,None,,,,
FLM - Film,Post Colonial Literature and Film*,FLM 280,3,200,None,None,,,,
FREN - French,Elementary French I,FREN 101,3,100,None,None,,,,
FREN - French,Elementary French II,FREN 102,3,100,FREN 101,None,,,,
FREN - French,Intensive Intermediate French,FREN 200,3,200,FREN 102,None,,,,
FREN - French,Contemporary French Culture ,FREN 301,3,300,FREN 200,None,,,,
FREN - French,Phonetic,FREN 302,3,300,FREN 200,None,,,,
FREN - French,Conversation and Composition I,FREN 311,3,300,FREN 200,None,,,,
FREN - French,Conversation and Composition II,FREN 312,3,300,FREN 200,None,,,,
FREN - French,French Masterpieces I,FREN 313,3,300,None,None,,,,
FREN - French,French Masterpieces II,FREN 314,3,300,None,None,,,,
FREN - French,Reading French,FREN 320,3,300,None,None,,,,
FREN - French,Independent Study ,FREN 330,3,300,FREN 311,None,,,,
FREN - French,Black French Literature ,FREN 350,3,300,"FREN 311, FREN 312",None,,,,
FREN - French,Twentieth Century,FREN 360,3,300,None,None,,,,
FREN - French,Topics in French Literature and Culture,FREN 370,3,300,None,None,,,,
GRD - Graphic Design,History of Graphic Design,GRD 101,3,100,None,None,Distribution: Lecture,,,
GRD - Graphic Design,Graphic Design I,GRD 110,3,100,None,None,,,,
GRD - Graphic Design,Fundamentals of Typography,GRD 121,3,100,None,None,Distribution: Studio,,,
GRD - Graphic Design,Concept Development,GRD 210,3,200,None,None,Distribution: Studio,,,
GRD - Graphic Design,Digital Design I ,GRD 230,3,200,None,None,Distribution: Studio,,,
GRD - Graphic Design,Digital Design II,GRD 231,3,200,None,None,Distribution: Studio,,,
GRD - Graphic Design,Experimental Typography,GRD 232,3,200,None,None,Distribution: Studio,,,
GRD - Graphic Design,Professional Practices,GRD 251,3,200,None,None,Distribution: Lecture,,,
GRD - Graphic Design,Brand Development,GRD 310,3,300,None,None,Distribution: Studio,,,
HCA - Healthcare Administration,Introduction to Healthcare Administration,HCA 201,3,200,None,None,,,,
HCA - Healthcare Administration,Approaches to Planning HC,HCA 210,3,200,HCA 201,None,,,,
HCA - Healthcare Administration,Health Economics,HCA 310,3,300,"ECON 230, ECON 240, HCA 201",None,,,,
HCA - Healthcare Administration,Health Facilities Law,HCA 320,3,300,HCA 201,None,,,,
HCA - Healthcare Administration,Health Care Management I ,HCA 421,3,400,"BAD 260, HCA 201",None,,,,
HCA - Healthcare Administration,Health Care Research,HCA 490,3,400,"BAD 260, HCA 201",None,,,,
HIS - History,Introduction to the Study of History,HIS 150,3,100,None,None,,,,
HIS - History,United States History,HIS 160,3,100,None,None,,,,
HIS - History,African History,HIS 180,3,100,None,None,,,,
HIS - History,European History,HIS 190,3,100,None,None,,,,
HIS - History,Selected Topics in U.S History,HIS 200,3,200,None,None,,,,
HIS - History,Selected Topics in Afro-American History,HIS 210,3,200,None,None,,,,
HIS - History,Selected Topics in African History,HIS 220,3,200,None,None,,,,
HIS - History,Selected Topics in World History,HIS 230,3,200,None,None,,,,
HIS - History,Selected Topics in Women's History,HIS 240,3,200,None,None,,,,
